Mcav_protein_seq,Human_gene_name,Human_gene_pfam,Orthogroup,Entry
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF01593.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF12831.11,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF01266.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF12831.11,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF03486.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF13450.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF13454.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF00890.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF13450.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF01488.24,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF01946.21,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF00070.31,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF13454.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF13454.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_24220_c3_g1_i1.p1,NP_000541.1,PF07974.17,OG0001245,NA
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF00008.31,OG0003141,Q8JI28
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF12661.11,OG0003141,Q8JI28
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF14670.10,OG0003141,Q8JI28
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF07645.19,OG0003141,Q8JI28
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF12947.11,OG0003141,Q8JI28
Mcav_TRINITY_GG_24446_c11_g1_i1.p1,NP_000538.3,PF12662.11,OG0003141,Q8JI28
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF00008.31,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF00084.24,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF12662.11,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000541.1,PF07974.17,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF14670.10,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF07645.19,OG0001127,P0C6B8
Mcav_TRINITY_GG_24454_c1_g1_i1.p1,NP_000538.3,PF12661.11,OG0001127,P0C6B8
Mcav_TRINITY_GG_25126_c3_g1_i1.p1,NP_000541.1,PF21314.1,OG0001757,Q15399
Mcav_TRINITY_GG_25196_c3_g1_i3.p1,NP_000745.1,PF01135.23,OG0005367,Q6AY46
Mcav_TRINITY_GG_25243_c0_g1_i1.p1,NP_000363.1,PF00264.24,OG0005192,B1VTI5
Mcav_TRINITY_GG_25243_c0_g1_i1.p1,NP_001913.2,PF00264.24,OG0005192,B1VTI5
Mcav_TRINITY_GG_25243_c0_g1_i1.p1,NP_000541.1,PF00264.24,OG0005192,B1VTI5
Mcav_TRINITY_GG_25476_c15_g1_i1.p1,NP_000363.1,PF06305.15,OG0010573,NA
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF07645.19,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF00008.31,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF12661.11,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF00084.24,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF12947.11,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF12662.11,OG0003268,P0C6B8
Mcav_TRINITY_GG_25977_c0_g1_i1.p1,NP_000538.3,PF14670.10,OG0003268,P0C6B8
Mcav_TRINITY_GG_26364_c22_g2_i1.p1,NP_112485.2,PF01557.22,OG0005498,P16930
Mcav_TRINITY_GG_26364_c22_g2_i1.p1,NP_000128.1,PF01557.22,OG0005498,P16930
Mcav_TRINITY_GG_26463_c24_g1_i1.p1,NP_954986.2,PF12549.12,OG0008141,Q8L7W2
Mcav_TRINITY_GG_26528_c0_g1_i1.p1,NP_003725.1,PF01179.24,OG0000519,H2A0M3
Mcav_TRINITY_GG_26528_c0_g1_i1.p1,NP_033720.2,PF01179.24,OG0000519,H2A0M3
Mcav_TRINITY_GG_27014_c21_g1_i1.p1,NP_002071.2,PF00155.25,OG0004088,Q9K7A0
Mcav_TRINITY_GG_27014_c21_g1_i1.p1,NP_000344.1,PF00266.23,OG0004088,Q9K7A0
Mcav_TRINITY_GG_27014_c21_g1_i1.p1,NP_000344.1,PF00155.25,OG0004088,Q9K7A0
Mcav_TRINITY_GG_27014_c21_g1_i1.p1,NP_002070.1,PF00155.25,OG0004088,Q9K7A0
Mcav_TRINITY_GG_27014_c21_g1_i1.p1,NP_000781.2,PF00155.25,OG0004088,Q9K7A0
Mcav_TRINITY_GG_27209_c6_g1_i1.p1,NP_001317079.1,PF00171.26,OG0003563,P49419
Mcav_TRINITY_GG_27209_c6_g1_i1.p1,NP_000684.2,PF00171.26,OG0003563,P49419
Mcav_TRINITY_GG_27209_c6_g1_i1.p1,NP_000685.1,PF00171.26,OG0003563,P49419
Mcav_TRINITY_GG_27209_c6_g1_i1.p1,NP_001026786.3,PF00171.26,OG0003563,P49419
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF12662.11,OG0012532,D3YXG0
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF00008.31,OG0012532,D3YXG0
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF14670.10,OG0012532,D3YXG0
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF12947.11,OG0012532,D3YXG0
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF07645.19,OG0012532,D3YXG0
Mcav_TRINITY_GG_27263_c11_g1_i2.p1,NP_000538.3,PF12661.11,OG0012532,D3YXG0
Mcav_TRINITY_GG_27266_c9_g1_i1.p1,NP_002677.1,PF13489.10,OG0005423,Q4R7K1
Mcav_TRINITY_GG_27266_c9_g1_i1.p1,NP_002677.1,PF08242.16,OG0005423,Q4R7K1
Mcav_TRINITY_GG_27266_c9_g1_i1.p1,NP_000745.1,PF13847.10,OG0005423,Q4R7K1
Mcav_TRINITY_GG_27266_c9_g1_i1.p1,NP_002677.1,PF08241.16,OG0005423,Q4R7K1
Mcav_TRINITY_GG_27284_c2_g1_i1.p1,NP_690863.1,PF02737.22,OG0001512,Q16698
Mcav_TRINITY_GG_27326_c8_g1_i1.p1,NP_000541.1,PF00053.28,OG0006247,Q61087
Mcav_TRINITY_GG_27326_c8_g1_i1.p1,NP_000363.1,PF00053.28,OG0006247,Q61087
Mcav_TRINITY_GG_27326_c8_g1_i1.p1,NP_001913.2,PF00053.28,OG0006247,Q61087
Mcav_TRINITY_GG_27329_c1_g1_i1.p1,NP_002677.1,PF08242.16,OG0007892,Q4KLE6
Mcav_TRINITY_GG_27329_c1_g1_i1.p1,NP_002677.1,PF08241.16,OG0007892,Q4KLE6
Mcav_TRINITY_GG_27329_c1_g1_i1.p1,NP_002677.1,PF13489.10,OG0007892,Q4KLE6
Mcav_TRINITY_GG_27617_c5_g1_i1.p1,NP_000541.1,PF21314.1,OG0001725,Q05BQ1
Mcav_TRINITY_GG_27799_c97_g1_i1.p1,NP_665877.1,PF13410.10,OG0001446,Q8R5I6
Mcav_TRINITY_GG_27799_c97_g1_i1.p1,NP_665877.1,PF00043.29,OG0001446,Q8R5I6
Mcav_TRINITY_GG_27799_c97_g1_i1.p1,NP_665877.1,PF14497.10,OG0001446,Q8R5I6
Mcav_TRINITY_GG_27799_c97_g1_i1.p1,NP_665877.1,PF02798.24,OG0001446,Q8R5I6
Mcav_TRINITY_GG_28518_c7_g1_i2.p1,NP_690863.1,PF00899.25,OG0002405,Q29504
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000663.1,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000889.3,PF01262.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000231.1,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_001159976.1,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000661.2,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000231.1,PF01262.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000889.3,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000661.2,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000661.2,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000663.1,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000663.1,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000660.1,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF01262.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000662.3,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000661.2,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000662.3,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000660.1,PF16912.9,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000659.2,PF01262.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_001159976.1,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_690863.1,PF00899.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000660.1,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000663.1,PF13602.10,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_690863.1,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_001159976.1,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000660.1,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_690863.1,PF01262.25,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000658.1,PF02254.22,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000662.3,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000662.3,PF08240.16,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28648_c5_g1_i1.p1,NP_000660.1,PF00107.30,OG0005763,P0DMQ6
Mcav_TRINITY_GG_28704_c1_g1_i2.p1,NP_002677.1,PF13489.10,OG0007184,Q9H867
Mcav_TRINITY_GG_28712_c1_g1_i3.p1,NP_690863.1,PF01494.23,OG0003858,Q90511
Mcav_TRINITY_GG_28712_c1_g1_i3.p1,NP_000889.3,PF01494.23,OG0003858,Q90511
Mcav_TRINITY_GG_28712_c1_g1_i3.p1,NP_000231.1,PF01494.23,OG0003858,Q90511
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_002677.1,PF13489.10,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_000745.1,PF09445.14,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_000745.1,PF02475.20,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_000745.1,PF13847.10,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_002677.1,PF08241.16,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_000745.1,PF01135.23,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29013_c0_g1_i1.p1,NP_002677.1,PF08242.16,OG0009599,Q7L2J0
Mcav_TRINITY_GG_29241_c48_g1_i1.p1,NP_690863.1,PF01266.28,OG0012737,Q9P0Z9
Mcav_TRINITY_GG_29241_c48_g1_i1.p1,NP_000231.1,PF01266.28,OG0012737,Q9P0Z9
Mcav_TRINITY_GG_29241_c48_g1_i1.p1,NP_000889.3,PF01266.28,OG0012737,Q9P0Z9
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_000344.1,PF00155.25,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_000344.1,PF01053.24,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_002071.2,PF00155.25,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_002070.1,PF00155.25,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_000781.2,PF00155.25,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29422_c4_g1_i4.p1,NP_000344.1,PF00266.23,OG0003124,Q1M0P5
Mcav_TRINITY_GG_29452_c4_g1_i1.p1,NP_000363.1,PF00053.28,OG0000303,P31226
Mcav_TRINITY_GG_29452_c4_g1_i1.p1,NP_001913.2,PF00053.28,OG0000303,P31226
Mcav_TRINITY_GG_29452_c4_g1_i1.p1,NP_000541.1,PF00053.28,OG0000303,P31226
Mcav_TRINITY_GG_29693_c1_g1_i1.p1,NP_000231.1,PF01593.28,OG0005629,Q8BW75
Mcav_TRINITY_GG_29693_c1_g1_i1.p1,NP_000889.3,PF01593.28,OG0005629,Q8BW75
Mcav_TRINITY_GG_29693_c1_g1_i1.p1,NP_690863.1,PF01593.28,OG0005629,Q8BW75
Mcav_TRINITY_GG_29894_c0_g1_i1.p1,NP_000778.3,PF03351.21,OG0002940,NA
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF13450.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF13450.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF03486.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF07992.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF13454.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF13454.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF13738.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF13738.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF03486.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF00890.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF01946.21,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF07992.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF00070.31,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF01946.21,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF13450.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF03486.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF01266.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF13454.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF00070.31,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF01946.21,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF00890.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF13738.10,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF00890.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF00070.31,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000889.3,PF01266.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF01266.28,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_000231.1,PF07992.18,OG0001055,Q8K4C0
Mcav_TRINITY_GG_29938_c0_g2_i1.p1,NP_690863.1,PF00743.23,OG0001055,Q8K4C0
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000663.1,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000660.1,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000661.2,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000659.2,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000662.3,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000661.2,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_001159976.1,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000663.1,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000662.3,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000658.1,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000660.1,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000658.1,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000658.1,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000660.1,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000659.2,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_001159976.1,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000663.1,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000661.2,PF00107.30,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000659.2,PF08240.16,OG0001461,P28304
Mcav_TRINITY_GG_30382_c4_g1_i1.p1,NP_000662.3,PF13602.10,OG0001461,P28304
Mcav_TRINITY_GG_30395_c8_g1_i1.p1,NP_000541.1,PF21314.1,OG0000513,Q61830
Mcav_TRINITY_GG_3048_c7_g1_i1.p1,NP_000344.1,PF00266.23,OG0010448,Q8D3M4
Mcav_TRINITY_GG_30615_c7_g1_i1.p1,NP_000363.1,PF06305.15,OG0008601,Q8K0L2
Mcav_TRINITY_GG_3066_c7_g1_i3.p2,NP_002677.1,PF08241.16,OG0002929,P51580
Mcav_TRINITY_GG_30852_c31_g1_i1.p1,NP_000684.2,PF00171.26,OG0000368,P24549
Mcav_TRINITY_GG_30852_c31_g1_i1.p1,NP_000685.1,PF00171.26,OG0000368,P24549
Mcav_TRINITY_GG_30852_c31_g1_i1.p1,NP_001317079.1,PF00171.26,OG0000368,P24549
Mcav_TRINITY_GG_30852_c31_g1_i1.p1,NP_001026786.3,PF00171.26,OG0000368,P24549
Mcav_TRINITY_GG_30862_c0_g1_i1.p1,NP_000889.3,PF01593.28,OG0000531,O64411
Mcav_TRINITY_GG_30862_c0_g1_i1.p1,NP_000231.1,PF01593.28,OG0000531,O64411
Mcav_TRINITY_GG_30862_c0_g1_i1.p1,NP_690863.1,PF01593.28,OG0000531,O64411
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_690863.1,PF01488.24,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_690863.1,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000660.1,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000231.1,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000663.1,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000658.1,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000889.3,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31033_c10_g1_i1.p1,NP_000659.2,PF02254.22,OG0002912,Q923D2
Mcav_TRINITY_GG_31776_c2_g1_i1.p1,NP_000344.1,PF00266.23,OG0001165,P09139
Mcav_TRINITY_GG_31776_c2_g1_i1.p1,NP_000344.1,PF01053.24,OG0001165,P09139
Mcav_TRINITY_GG_32122_c3_g1_i1.p1,NP_000538.3,PF12661.11,OG0001812,Q95218
Mcav_TRINITY_GG_32122_c3_g1_i1.p1,NP_000538.3,PF12947.11,OG0001812,Q95218
Mcav_TRINITY_GG_32122_c3_g1_i1.p1,NP_000538.3,PF12662.11,OG0001812,Q95218
Mcav_TRINITY_GG_32122_c3_g1_i1.p1,NP_000538.3,PF07645.19,OG0001812,Q95218
Mcav_TRINITY_GG_32345_c9_g1_i1.p1,NP_665877.1,PF14497.10,OG0000629,Q7SIA2
Mcav_TRINITY_GG_32345_c9_g1_i1.p1,NP_665877.1,PF13410.10,OG0000629,Q7SIA2
Mcav_TRINITY_GG_32345_c9_g1_i1.p1,NP_665877.1,PF00043.29,OG0000629,Q7SIA2
Mcav_TRINITY_GG_32379_c2_g1_i1.p1,NP_000538.3,PF03098.19,OG0003283,Q3UQ28
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000661.2,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000662.3,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000663.1,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000658.1,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000661.2,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000661.2,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000659.2,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000659.2,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000662.3,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000659.2,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000660.1,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000662.3,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000658.1,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000658.1,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_001159976.1,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_001159976.1,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000660.1,PF08240.16,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000663.1,PF00107.30,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000660.1,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32606_c24_g1_i2.p1,NP_000663.1,PF13602.10,OG0001106,Q08257
Mcav_TRINITY_GG_32722_c4_g2_i1.p1,NP_000344.1,PF00266.23,OG0005872,P10658
Mcav_TRINITY_GG_32830_c7_g2_i1.p1,NP_000745.1,PF13847.10,OG0011378,Q7TS68
Mcav_TRINITY_GG_32830_c7_g2_i1.p1,NP_000745.1,PF01135.23,OG0011378,Q7TS68
Mcav_TRINITY_GG_32866_c9_g1_i1.p1,NP_001150.3,PF00111.31,OG0003752,Q9YHT2
